11,GE-Rainbow,GE-Inv-Rainbow,Hitachi-Block,Hitachi-Pallete,Siemens-CT,Siemens-MR,Terarecon,Toshiba-MRI,Toshiba-CT-Rainbow,Toshiba-CT-Rainbow-Red,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,255,0,0,0,0,0,8,123,0,0
2,0,255,0,0,33,0,0,16,123,0,0
3,0,255,0,0,33,0,0,24,123,0,0
4,0,255,0,0,66,0,0,24,123,0,0
5,0,255,0,0,66,0,0,33,123,0,0
6,0,255,0,0,66,0,0,41,123,0,0
7,0,255,0,0,66,0,0,49,132,0,0
8,0,255,0,0,66,0,0,49,132,0,0
9,0,255,0,0,66,0,0,57,132,0,0
10,0,255,0,0,74,0,0,66,132,0,0
11,0,255,0,0,74,0,0,74,132,0,0
12,0,255,0,0,74,0,0,74,140,0,0
13,0,255,0,0,74,0,0,82,132,0,0
14,0,255,0,0,82,0,0,90,115,0,0
15,0,255,0,0,82,0,0,99,107,0,0
16,0,255,0,0,82,0,0,99,90,0,0
17,0,255,0,0,82,0,0,107,90,0,0
18,0,255,0,0,82,0,0,115,82,0,0
19,0,255,0,0,82,0,0,123,66,0,0
20,0,255,0,0,90,0,0,123,49,0,0
21,0,255,0,0,90,0,0,132,41,0,0
22,0,255,0,0,90,0,0,140,24,0,0
23,0,255,0,0,90,0,0,148,16,0,0
24,0,255,0,0,99,0,0,148,0,0,0
25,0,255,0,0,99,0,0,156,0,0,0
26,0,255,0,0,90,0,0,165,0,0,0
27,0,255,0,0,90,0,0,173,0,0,0
28,0,255,0,0,90,0,0,181,0,0,0
29,0,255,0,0,90,0,0,181,0,0,0
30,0,255,0,0,82,0,0,189,0,0,0
31,0,255,0,0,82,0,0,198,0,0,0
32,0,255,0,0,82,0,0,206,0,0,0
33,0,255,0,0,82,0,0,206,0,0,0
34,0,255,0,0,82,0,0,214,0,0,0
35,0,255,0,0,82,0,0,222,0,0,0
36,0,255,0,0,74,0,0,231,0,0,0
37,0,255,0,0,74,0,0,231,0,0,0
38,0,255,0,0,74,0,0,239,0,0,0
39,0,255,0,0,74,0,0,247,0,0,0
40,0,255,0,0,66,0,0,255,0,0,0
41,0,255,0,0,66,0,0,255,0,0,0
42,0,255,0,0,66,0,0,255,0,0,0
43,0,255,0,0,66,0,0,255,0,0,0
44,0,255,0,0,66,0,0,255,0,0,0
45,0,255,0,0,66,0,0,255,0,0,0
46,0,255,0,0,66,0,0,255,0,0,0
47,0,255,0,0,66,0,0,255,0,0,0
48,0,255,0,0,66,0,0,255,0,0,0
49,0,255,0,0,66,0,0,255,0,0,0
50,0,255,0,0,66,0,0,255,0,0,0
51,0,255,0,0,66,0,0,255,0,0,0
52,0,255,0,0,66,0,0,255,0,0,0
53,0,255,0,0,66,0,0,255,0,0,0
54,0,255,0,0,66,0,0,255,0,0,0
55,0,255,0,0,66,0,0,255,0,0,0
56,0,255,0,0,66,0,0,255,0,0,0
57,0,255,0,0,66,0,0,255,0,0,0
58,0,255,0,0,66,0,0,255,0,0,0
59,0,255,0,0,66,0,0,255,0,0,0
60,0,255,0,0,66,0,0,255,0,0,0
61,0,255,0,0,66,0,0,255,0,0,0
62,0,255,0,0,66,0,0,255,0,0,0
63,0,255,0,0,66,0,0,255,0,0,0
64,0,255,0,0,66,0,0,255,0,0,0
65,0,255,0,0,66,0,0,255,0,0,0
66,0,255,0,0,66,0,0,255,0,0,0
67,0,255,0,0,66,0,0,255,0,0,0
68,0,255,0,0,66,0,0,255,0,0,0
69,0,255,0,0,66,0,0,255,0,0,0
70,0,255,0,0,66,0,0,255,0,0,0
71,0,255,0,0,66,0,0,255,0,0,0
72,0,255,0,0,66,0,0,255,0,0,0
73,0,255,0,0,66,0,0,255,0,0,0
74,0,255,0,0,66,0,0,255,0,0,0
75,0,255,0,0,66,0,0,255,0,0,0
76,0,255,0,0,66,0,0,255,0,0,0
77,0,255,0,0,66,0,0,255,0,0,0
78,0,255,0,0,66,0,0,255,0,0,0
79,0,255,0,0,66,0,0,255,0,0,0
80,0,255,0,0,66,0,0,255,0,8,0
